stego_filename,subset,expected_type,payload_type,payload_size_class,lsb,mode,predicted_type,correct
Flat-Color_1_S__pdf_small__lsb3.bmp,core,PDF,PDF,small,3,no_buffer,PDF,1
Flat-Color_1_S__pdf_small__lsb3.bmp,core,PDF,PDF,small,3,no_markers,PDF,1
Flat-Color_1_S__pptx_small__lsb1.bmp,core,PPTX,PPTX,small,1,full,PPTX,1
Flat-Color_1_S__pptx_small__lsb1.bmp,core,PPTX,PPTX,small,1,no_deinterleaving,PPTX,1
Flat-Color_1_S__pptx_small__lsb1.bmp,core,PPTX,PPTX,small,1,no_buffer,ZIP,0
Flat-Color_1_S__pptx_small__lsb1.bmp,core,PPTX,PPTX,small,1,no_markers,ZIP,0
Flat-Color_1_S__pptx_small__lsb2.bmp,core,PPTX,PPTX,small,2,full,PPTX,1
Flat-Color_1_S__pptx_small__lsb2.bmp,core,PPTX,PPTX,small,2,no_deinterleaving,UNKNOWN,0
Flat-Color_1_S__pptx_small__lsb2.bmp,core,PPTX,PPTX,small,2,no_buffer,ZIP,0
Flat-Color_1_S__pptx_small__lsb2.bmp,core,PPTX,PPTX,small,2,no_markers,ZIP,0
Flat-Color_1_S__pptx_small__lsb3.bmp,core,PPTX,PPTX,small,3,full,PPTX,1
Flat-Color_1_S__pptx_small__lsb3.bmp,core,PPTX,PPTX,small,3,no_deinterleaving,UNKNOWN,0
Flat-Color_1_S__pptx_small__lsb3.bmp,core,PPTX,PPTX,small,3,no_buffer,ZIP,0
Flat-Color_1_S__pptx_small__lsb3.bmp,core,PPTX,PPTX,small,3,no_markers,ZIP,0
Flat-Color_1_S__rtf_small__lsb1.bmp,core,RTF,RTF,small,1,full,RTF,1
Flat-Color_1_S__rtf_small__lsb1.bmp,core,RTF,RTF,small,1,no_deinterleaving,RTF,1
Flat-Color_1_S__rtf_small__lsb1.bmp,core,RTF,RTF,small,1,no_buffer,RTF,1
Flat-Color_1_S__rtf_small__lsb1.bmp,core,RTF,RTF,small,1,no_markers,RTF,1
Flat-Color_1_S__rtf_small__lsb2.bmp,core,RTF,RTF,small,2,full,RTF,1
Flat-Color_1_S__rtf_small__lsb2.bmp,core,RTF,RTF,small,2,no_deinterleaving,UNKNOWN,0
Flat-Color_1_S__rtf_small__lsb2.bmp,core,RTF,RTF,small,2,no_buffer,RTF,1
Flat-Color_1_S__rtf_small__lsb2.bmp,core,RTF,RTF,small,2,no_markers,RTF,1
Flat-Color_1_S__rtf_small__lsb3.bmp,core,RTF,RTF,small,3,full,RTF,1
Flat-Color_1_S__rtf_small__lsb3.bmp,core,RTF,RTF,small,3,no_deinterleaving,UNKNOWN,0
Flat-Color_1_S__rtf_small__lsb3.bmp,core,RTF,RTF,small,3,no_buffer,RTF,1
Flat-Color_1_S__rtf_small__lsb3.bmp,core,RTF,RTF,small,3,no_markers,RTF,1
Flat-Color_1_S__xlsx_small__lsb1.bmp,core,XLSX,XLSX,small,1,full,XLSX,1
Flat-Color_1_S__xlsx_small__lsb1.bmp,core,XLSX,XLSX,small,1,no_deinterleaving,XLSX,1
Flat-Color_1_S__xlsx_small__lsb1.bmp,core,XLSX,XLSX,small,1,no_buffer,ZIP,0
Flat-Color_1_S__xlsx_small__lsb1.bmp,core,XLSX,XLSX,small,1,no_markers,ZIP,0
Flat-Color_1_S__xlsx_small__lsb2.bmp,core,XLSX,XLSX,small,2,full,XLSX,1
Flat-Color_1_S__xlsx_small__lsb2.bmp,core,XLSX,XLSX,small,2,no_deinterleaving,UNKNOWN,0
Flat-Color_1_S__xlsx_small__lsb2.bmp,core,XLSX,XLSX,small,2,no_buffer,ZIP,0
Flat-Color_1_S__xlsx_small__lsb2.bmp,core,XLSX,XLSX,small,2,no_markers,ZIP,0
Flat-Color_1_S__xlsx_small__lsb3.bmp,core,XLSX,XLSX,small,3,full,XLSX,1
Flat-Color_1_S__xlsx_small__lsb3.bmp,core,XLSX,XLSX,small,3,no_deinterleaving,UNKNOWN,0
Flat-Color_1_S__xlsx_small__lsb3.bmp,core,XLSX,XLSX,small,3,no_buffer,ZIP,0
Flat-Color_1_S__xlsx_small__lsb3.bmp,core,XLSX,XLSX,small,3,no_markers,ZIP,0
Flat-Color_2_M__docx_large__lsb3.png,core,DOCX,DOCX,large,3,full,DOCX,1
Flat-Color_2_M__docx_large__lsb3.png,core,DOCX,DOCX,large,3,no_deinterleaving,UNKNOWN,0
Flat-Color_2_M__docx_large__lsb3.png,core,DOCX,DOCX,large,3,no_buffer,ZIP,0
Flat-Color_2_M__docx_large__lsb3.png,core,DOCX,DOCX,large,3,no_markers,ZIP,0
Flat-Color_2_M__docx_medium__lsb2.png,core,DOCX,DOCX,medium,2,full,DOCX,1
Flat-Color_2_M__docx_medium__lsb2.png,core,DOCX,DOCX,medium,2,no_deinterleaving,UNKNOWN,0
Flat-Color_2_M__docx_medium__lsb2.png,core,DOCX,DOCX,medium,2,no_buffer,ZIP,0
Flat-Color_2_M__docx_medium__lsb2.png,core,DOCX,DOCX,medium,2,no_markers,ZIP,0
Flat-Color_2_M__docx_medium__lsb3.png,core,DOCX,DOCX,medium,3,full,DOCX,1
Flat-Color_2_M__docx_medium__lsb3.png,core,DOCX,DOCX,medium,3,no_deinterleaving,UNKNOWN,0
Flat-Color_2_M__docx_medium__lsb3.png,core,DOCX,DOCX,medium,3,no_buffer,ZIP,0
Flat-Color_2_M__docx_medium__lsb3.png,core,DOCX,DOCX,medium,3,no_markers,ZIP,0
Flat-Color_2_M__docx_small__lsb1.png,core,DOCX,DOCX,small,1,full,DOCX,1
Flat-Color_2_M__docx_small__lsb1.png,core,DOCX,DOCX,small,1,no_deinterleaving,DOCX,1
Flat-Color_2_M__docx_small__lsb1.png,core,DOCX,DOCX,small,1,no_buffer,ZIP,0
Flat-Color_2_M__docx_small__lsb1.png,core,DOCX,DOCX,small,1,no_markers,ZIP,0
Flat-Color_2_M__docx_small__lsb2.png,core,DOCX,DOCX,small,2,full,DOCX,1
Flat-Color_2_M__docx_small__lsb2.png,core,DOCX,DOCX,small,2,no_deinterleaving,UNKNOWN,0
Flat-Color_2_M__docx_small__lsb2.png,core,DOCX,DOCX,small,2,no_buffer,ZIP,0
Flat-Color_2_M__docx_small__lsb2.png,core,DOCX,DOCX,small,2,no_markers,ZIP,0
Flat-Color_2_M__docx_small__lsb3.png,core,DOCX,DOCX,small,3,full,DOCX,1
Flat-Color_2_M__docx_small__lsb3.png,core,DOCX,DOCX,small,3,no_deinterleaving,UNKNOWN,0
Flat-Color_2_M__docx_small__lsb3.png,core,DOCX,DOCX,small,3,no_buffer,ZIP,0
Flat-Color_2_M__docx_small__lsb3.png,core,DOCX,DOCX,small,3,no_markers,ZIP,0
Flat-Color_2_M__exe_large__lsb3.png,core,EXE,EXE,large,3,full,EXE,1
Flat-Color_2_M__exe_large__lsb3.png,core,EXE,EXE,large,3,no_deinterleaving,UNKNOWN,0
Flat-Color_2_M__exe_large__lsb3.png,core,EXE,EXE,large,3,no_buffer,EXE,1
Flat-Color_2_M__exe_large__lsb3.png,core,EXE,EXE,large,3,no_markers,EXE,1
Flat-Color_2_M__exe_medium__lsb2.png,core,EXE,EXE,medium,2,full,EXE,1
Flat-Color_2_M__exe_medium__lsb2.png,core,EXE,EXE,medium,2,no_deinterleaving,UNKNOWN,0
Flat-Color_2_M__exe_medium__lsb2.png,core,EXE,EXE,medium,2,no_buffer,EXE,1
Flat-Color_2_M__exe_medium__lsb2.png,core,EXE,EXE,medium,2,no_markers,EXE,1
Flat-Color_2_M__exe_medium__lsb3.png,core,EXE,EXE,medium,3,full,EXE,1
Flat-Color_2_M__exe_medium__lsb3.png,core,EXE,EXE,medium,3,no_deinterleaving,UNKNOWN,0
Flat-Color_2_M__exe_medium__lsb3.png,core,EXE,EXE,medium,3,no_buffer,EXE,1
Flat-Color_2_M__exe_medium__lsb3.png,core,EXE,EXE,medium,3,no_markers,EXE,1
Flat-Color_2_M__exe_small__lsb1.png,core,EXE,EXE,small,1,full,EXE,1
Flat-Color_2_M__exe_small__lsb1.png,core,EXE,EXE,small,1,no_deinterleaving,EXE,1
Flat-Color_2_M__exe_small__lsb1.png,core,EXE,EXE,small,1,no_buffer,EXE,1
Flat-Color_2_M__exe_small__lsb1.png,core,EXE,EXE,small,1,no_markers,EXE,1
Flat-Color_2_M__exe_small__lsb2.png,core,EXE,EXE,small,2,full,EXE,1
Flat-Color_2_M__exe_small__lsb2.png,core,EXE,EXE,small,2,no_deinterleaving,UNKNOWN,0
Flat-Color_2_M__exe_small__lsb2.png,core,EXE,EXE,small,2,no_buffer,EXE,1
Flat-Color_2_M__exe_small__lsb2.png,core,EXE,EXE,small,2,no_markers,EXE,1
