clean_id,evaluation_group,subset,category,filename,image_path,tested_lsb,baseline_detected_type,baseline_status,baseline_false_positive,structural_detected_type,structural_validation_status,structural_false_positive,tag_size,payload_length,tag_endian,header_hex,runtime_seconds,processing_error,error
original_core::Low-Detail_2_L.bmp,original,core,controlled_original,Low-Detail_2_L.bmp,/home/kali/stego_dataset_expanded/covers_original/Low-Detail_2_L.bmp,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,270549120,little,,1.599325,0,
original_core::Mixed-Content_1_S.bmp,original,core,controlled_original,Mixed-Content_1_S.bmp,/home/kali/stego_dataset_expanded/covers_original/Mixed-Content_1_S.bmp,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,10231127,little,,0.179094,0,
original_core::Mixed-Content_1_S.bmp,original,core,controlled_original,Mixed-Content_1_S.bmp,/home/kali/stego_dataset_expanded/covers_original/Mixed-Content_1_S.bmp,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,10591635,little,,0.196622,0,
original_core::Mixed-Content_1_S.bmp,original,core,controlled_original,Mixed-Content_1_S.bmp,/home/kali/stego_dataset_expanded/covers_original/Mixed-Content_1_S.bmp,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,8224214,little,,0.188647,0,
original_core::Mixed-Content_2_L.bmp,original,core,controlled_original,Mixed-Content_2_L.bmp,/home/kali/stego_dataset_expanded/covers_original/Mixed-Content_2_L.bmp,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,12592677,little,,1.519570,0,
original_core::Mixed-Content_2_L.bmp,original,core,controlled_original,Mixed-Content_2_L.bmp,/home/kali/stego_dataset_expanded/covers_original/Mixed-Content_2_L.bmp,2,Unknown/None,no_known_signature,0,Unknown/None,no_known_signature,0,3,299812,little,3e 5a 8a a5 ac 31 c0 7f,1.338093,0,
original_core::Mixed-Content_2_L.bmp,original,core,controlled_original,Mixed-Content_2_L.bmp,/home/kali/stego_dataset_expanded/covers_original/Mixed-Content_2_L.bmp,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,2422703512,little,,1.491136,0,
original_core::Noisy_1_S.bmp,original,core,controlled_original,Noisy_1_S.bmp,/home/kali/stego_dataset_expanded/covers_original/Noisy_1_S.bmp,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,3350442,little,,0.210591,0,
original_core::Noisy_1_S.bmp,original,core,controlled_original,Noisy_1_S.bmp,/home/kali/stego_dataset_expanded/covers_original/Noisy_1_S.bmp,2,Unknown/None,no_known_signature,0,Unknown/None,no_known_signature,0,3,124644,little,7f af 0f 7d b6 73 f1 24,0.180678,0,
original_core::Noisy_1_S.bmp,original,core,controlled_original,Noisy_1_S.bmp,/home/kali/stego_dataset_expanded/covers_original/Noisy_1_S.bmp,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,11439722,little,,0.205713,0,
original_core::Noisy_2_M.png,original,core,controlled_original,Noisy_2_M.png,/home/kali/stego_dataset_expanded/covers_original/Noisy_2_M.png,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,12609772,little,,0.872044,0,
original_core::Noisy_2_M.png,original,core,controlled_original,Noisy_2_M.png,/home/kali/stego_dataset_expanded/covers_original/Noisy_2_M.png,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,12341502,little,,0.726177,0,
original_core::Noisy_2_M.png,original,core,controlled_original,Noisy_2_M.png,/home/kali/stego_dataset_expanded/covers_original/Noisy_2_M.png,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,4514671,little,,0.685402,0,
original_core::Photographic_1_S.png,original,core,controlled_original,Photographic_1_S.png,/home/kali/stego_dataset_expanded/covers_original/Photographic_1_S.png,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,7931901,little,,0.292484,0,
original_core::Photographic_1_S.png,original,core,controlled_original,Photographic_1_S.png,/home/kali/stego_dataset_expanded/covers_original/Photographic_1_S.png,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,2773493,little,,0.219616,0,
original_core::Photographic_1_S.png,original,core,controlled_original,Photographic_1_S.png,/home/kali/stego_dataset_expanded/covers_original/Photographic_1_S.png,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,4576238,little,,0.220009,0,
original_core::Photographic_2_M.bmp,original,core,controlled_original,Photographic_2_M.bmp,/home/kali/stego_dataset_expanded/covers_original/Photographic_2_M.bmp,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,5318057,little,,0.778585,0,
original_core::Photographic_2_M.bmp,original,core,controlled_original,Photographic_2_M.bmp,/home/kali/stego_dataset_expanded/covers_original/Photographic_2_M.bmp,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,2378062,little,,0.636485,0,
original_core::Photographic_2_M.bmp,original,core,controlled_original,Photographic_2_M.bmp,/home/kali/stego_dataset_expanded/covers_original/Photographic_2_M.bmp,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,1419827,little,,0.707273,0,
original_core::Transparency_1_S.png,original,core,controlled_original,Transparency_1_S.png,/home/kali/stego_dataset_expanded/covers_original/Transparency_1_S.png,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,16777215,little,,0.149801,0,
original_core::Transparency_1_S.png,original,core,controlled_original,Transparency_1_S.png,/home/kali/stego_dataset_expanded/covers_original/Transparency_1_S.png,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,16777215,little,,0.165238,0,
original_core::Transparency_1_S.png,original,core,controlled_original,Transparency_1_S.png,/home/kali/stego_dataset_expanded/covers_original/Transparency_1_S.png,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,16777215,little,,0.172344,0,
original_core::Transparency_2_L.png,original,core,controlled_original,Transparency_2_L.png,/home/kali/stego_dataset_expanded/covers_original/Transparency_2_L.png,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,16777215,little,,1.890199,0,
original_core::Transparency_2_L.png,original,core,controlled_original,Transparency_2_L.png,/home/kali/stego_dataset_expanded/covers_original/Transparency_2_L.png,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,16777215,little,,1.702977,0,
original_core::Transparency_2_L.png,original,core,controlled_original,Transparency_2_L.png,/home/kali/stego_dataset_expanded/covers_original/Transparency_2_L.png,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,4294967295,little,,1.759157,0,
original_xl::XL-Synthetic_10_B.bmp,original,xl,controlled_original,XL-Synthetic_10_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_10_B.bmp,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,1765927603,little,,14.697237,0,
original_xl::XL-Synthetic_10_B.bmp,original,xl,controlled_original,XL-Synthetic_10_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_10_B.bmp,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,1291628519,little,,14.290489,0,
original_xl::XL-Synthetic_10_B.bmp,original,xl,controlled_original,XL-Synthetic_10_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_10_B.bmp,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,2143008120,little,,13.927288,0,
original_xl::XL-Synthetic_10_P.png,original,xl,controlled_original,XL-Synthetic_10_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_10_P.png,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,9142924,little,,0.783036,0,
original_xl::XL-Synthetic_10_P.png,original,xl,controlled_original,XL-Synthetic_10_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_10_P.png,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,6871234,little,,0.766206,0,
original_xl::XL-Synthetic_10_P.png,original,xl,controlled_original,XL-Synthetic_10_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_10_P.png,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,7351920,little,,0.906376,0,
original_xl::XL-Synthetic_11_B.bmp,original,xl,controlled_original,XL-Synthetic_11_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_11_B.bmp,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,2243876702,little,,15.147400,0,
original_xl::XL-Synthetic_11_B.bmp,original,xl,controlled_original,XL-Synthetic_11_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_11_B.bmp,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,2539380401,little,,16.461976,0,
original_xl::XL-Synthetic_11_B.bmp,original,xl,controlled_original,XL-Synthetic_11_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_11_B.bmp,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,2776504140,little,,15.649160,0,
original_xl::XL-Synthetic_11_P.png,original,xl,controlled_original,XL-Synthetic_11_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_11_P.png,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,466105,little,,0.746499,0,
original_xl::XL-Synthetic_11_P.png,original,xl,controlled_original,XL-Synthetic_11_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_11_P.png,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,11094373,little,,0.811082,0,
original_xl::XL-Synthetic_11_P.png,original,xl,controlled_original,XL-Synthetic_11_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_11_P.png,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,3529274,little,,0.788315,0,
original_xl::XL-Synthetic_12_B.bmp,original,xl,controlled_original,XL-Synthetic_12_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_12_B.bmp,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,146178246,little,,17.151511,0,
