scenario,file,subset,expected_type,true_lsb,tested_path,predicted_type,outcome,correct,unknown,misclassified,error,random_seed,jpeg_quality,resize_scale,noise_sigma
Reduced Buffer,XL-Synthetic_10_B__exe_large__lsb3.bmp,extended_xl,EXE,3,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__exe_large__lsb3.bmp,EXE,Correct,1,0,0,0,,,,
Original,XL-Synthetic_10_B__pdf_large__lsb1.bmp,extended_xl,PDF,1,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__pdf_large__lsb1.bmp,PDF,Correct,1,0,0,0,,,,
JPEG Compression,XL-Synthetic_10_B__pdf_large__lsb1.bmp,extended_xl,PDF,1,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__pdf_large__lsb1__jpeg_q85.jpg,UNKNOWN,Unknown,0,1,0,0,,85,,
Resizing,XL-Synthetic_10_B__pdf_large__lsb1.bmp,extended_xl,PDF,1,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__pdf_large__lsb1__resize_90.png,UNKNOWN,Unknown,0,1,0,0,,,0.9,
Slight Noise,XL-Synthetic_10_B__pdf_large__lsb1.bmp,extended_xl,PDF,1,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__pdf_large__lsb1__noise.png,UNKNOWN,Unknown,0,1,0,0,42,,,8.0
Wrong LSB Depth,XL-Synthetic_10_B__pdf_large__lsb1.bmp,extended_xl,PDF,1,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__pdf_large__lsb1.bmp,UNKNOWN,Unknown,0,1,0,0,,,,
Reduced Buffer,XL-Synthetic_10_B__pdf_large__lsb1.bmp,extended_xl,PDF,1,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__pdf_large__lsb1.bmp,PDF,Correct,1,0,0,0,,,,
Original,XL-Synthetic_10_B__pdf_large__lsb2.bmp,extended_xl,PDF,2,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__pdf_large__lsb2.bmp,PDF,Correct,1,0,0,0,,,,
JPEG Compression,XL-Synthetic_10_B__pdf_large__lsb2.bmp,extended_xl,PDF,2,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__pdf_large__lsb2__jpeg_q85.jpg,UNKNOWN,Unknown,0,1,0,0,,85,,
Resizing,XL-Synthetic_10_B__pdf_large__lsb2.bmp,extended_xl,PDF,2,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__pdf_large__lsb2__resize_90.png,UNKNOWN,Unknown,0,1,0,0,,,0.9,
Slight Noise,XL-Synthetic_10_B__pdf_large__lsb2.bmp,extended_xl,PDF,2,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__pdf_large__lsb2__noise.png,UNKNOWN,Unknown,0,1,0,0,42,,,8.0
Wrong LSB Depth,XL-Synthetic_10_B__pdf_large__lsb2.bmp,extended_xl,PDF,2,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__pdf_large__lsb2.bmp,UNKNOWN,Unknown,0,1,0,0,,,,
Reduced Buffer,XL-Synthetic_10_B__pdf_large__lsb2.bmp,extended_xl,PDF,2,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__pdf_large__lsb2.bmp,PDF,Correct,1,0,0,0,,,,
Original,XL-Synthetic_10_B__pdf_large__lsb3.bmp,extended_xl,PDF,3,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__pdf_large__lsb3.bmp,PDF,Correct,1,0,0,0,,,,
JPEG Compression,XL-Synthetic_10_B__pdf_large__lsb3.bmp,extended_xl,PDF,3,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__pdf_large__lsb3__jpeg_q85.jpg,UNKNOWN,Unknown,0,1,0,0,,85,,
Resizing,XL-Synthetic_10_B__pdf_large__lsb3.bmp,extended_xl,PDF,3,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__pdf_large__lsb3__resize_90.png,UNKNOWN,Unknown,0,1,0,0,,,0.9,
Slight Noise,XL-Synthetic_10_B__pdf_large__lsb3.bmp,extended_xl,PDF,3,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__pdf_large__lsb3__noise.png,UNKNOWN,Unknown,0,1,0,0,42,,,8.0
Wrong LSB Depth,XL-Synthetic_10_B__pdf_large__lsb3.bmp,extended_xl,PDF,3,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__pdf_large__lsb3.bmp,UNKNOWN,Unknown,0,1,0,0,,,,
Reduced Buffer,XL-Synthetic_10_B__pdf_large__lsb3.bmp,extended_xl,PDF,3,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__pdf_large__lsb3.bmp,PDF,Correct,1,0,0,0,,,,
Original,XL-Synthetic_10_B__pptx_large__lsb1.bmp,extended_xl,PPTX,1,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__pptx_large__lsb1.bmp,PPTX,Correct,1,0,0,0,,,,
JPEG Compression,XL-Synthetic_10_B__pptx_large__lsb1.bmp,extended_xl,PPTX,1,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__pptx_large__lsb1__jpeg_q85.jpg,UNKNOWN,Unknown,0,1,0,0,,85,,
Resizing,XL-Synthetic_10_B__pptx_large__lsb1.bmp,extended_xl,PPTX,1,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__pptx_large__lsb1__resize_90.png,UNKNOWN,Unknown,0,1,0,0,,,0.9,
Slight Noise,XL-Synthetic_10_B__pptx_large__lsb1.bmp,extended_xl,PPTX,1,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__pptx_large__lsb1__noise.png,UNKNOWN,Unknown,0,1,0,0,42,,,8.0
Wrong LSB Depth,XL-Synthetic_10_B__pptx_large__lsb1.bmp,extended_xl,PPTX,1,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__pptx_large__lsb1.bmp,UNKNOWN,Unknown,0,1,0,0,,,,
Reduced Buffer,XL-Synthetic_10_B__pptx_large__lsb1.bmp,extended_xl,PPTX,1,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__pptx_large__lsb1.bmp,ZIP,Unknown,0,1,0,0,,,,
Original,XL-Synthetic_10_B__pptx_large__lsb2.bmp,extended_xl,PPTX,2,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__pptx_large__lsb2.bmp,PPTX,Correct,1,0,0,0,,,,
JPEG Compression,XL-Synthetic_10_B__pptx_large__lsb2.bmp,extended_xl,PPTX,2,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__pptx_large__lsb2__jpeg_q85.jpg,UNKNOWN,Unknown,0,1,0,0,,85,,
Resizing,XL-Synthetic_10_B__pptx_large__lsb2.bmp,extended_xl,PPTX,2,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__pptx_large__lsb2__resize_90.png,UNKNOWN,Unknown,0,1,0,0,,,0.9,
Slight Noise,XL-Synthetic_10_B__pptx_large__lsb2.bmp,extended_xl,PPTX,2,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__pptx_large__lsb2__noise.png,UNKNOWN,Unknown,0,1,0,0,42,,,8.0
Wrong LSB Depth,XL-Synthetic_10_B__pptx_large__lsb2.bmp,extended_xl,PPTX,2,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__pptx_large__lsb2.bmp,UNKNOWN,Unknown,0,1,0,0,,,,
Reduced Buffer,XL-Synthetic_10_B__pptx_large__lsb2.bmp,extended_xl,PPTX,2,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__pptx_large__lsb2.bmp,ZIP,Unknown,0,1,0,0,,,,
Original,XL-Synthetic_10_B__pptx_large__lsb3.bmp,extended_xl,PPTX,3,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__pptx_large__lsb3.bmp,PPTX,Correct,1,0,0,0,,,,
JPEG Compression,XL-Synthetic_10_B__pptx_large__lsb3.bmp,extended_xl,PPTX,3,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__pptx_large__lsb3__jpeg_q85.jpg,UNKNOWN,Unknown,0,1,0,0,,85,,
Resizing,XL-Synthetic_10_B__pptx_large__lsb3.bmp,extended_xl,PPTX,3,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__pptx_large__lsb3__resize_90.png,UNKNOWN,Unknown,0,1,0,0,,,0.9,
Slight Noise,XL-Synthetic_10_B__pptx_large__lsb3.bmp,extended_xl,PPTX,3,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__pptx_large__lsb3__noise.png,UNKNOWN,Unknown,0,1,0,0,42,,,8.0
Wrong LSB Depth,XL-Synthetic_10_B__pptx_large__lsb3.bmp,extended_xl,PPTX,3,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__pptx_large__lsb3.bmp,UNKNOWN,Unknown,0,1,0,0,,,,
Reduced Buffer,XL-Synthetic_10_B__pptx_large__lsb3.bmp,extended_xl,PPTX,3,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__pptx_large__lsb3.bmp,ZIP,Unknown,0,1,0,0,,,,
Original,XL-Synthetic_10_B__rtf_large__lsb1.bmp,extended_xl,RTF,1,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__rtf_large__lsb1.bmp,RTF,Correct,1,0,0,0,,,,
JPEG Compression,XL-Synthetic_10_B__rtf_large__lsb1.bmp,extended_xl,RTF,1,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__rtf_large__lsb1__jpeg_q85.jpg,UNKNOWN,Unknown,0,1,0,0,,85,,
Resizing,XL-Synthetic_10_B__rtf_large__lsb1.bmp,extended_xl,RTF,1,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__rtf_large__lsb1__resize_90.png,UNKNOWN,Unknown,0,1,0,0,,,0.9,
Slight Noise,XL-Synthetic_10_B__rtf_large__lsb1.bmp,extended_xl,RTF,1,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__rtf_large__lsb1__noise.png,UNKNOWN,Unknown,0,1,0,0,42,,,8.0
Wrong LSB Depth,XL-Synthetic_10_B__rtf_large__lsb1.bmp,extended_xl,RTF,1,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__rtf_large__lsb1.bmp,UNKNOWN,Unknown,0,1,0,0,,,,
Reduced Buffer,XL-Synthetic_10_B__rtf_large__lsb1.bmp,extended_xl,RTF,1,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__rtf_large__lsb1.bmp,RTF,Correct,1,0,0,0,,,,
Original,XL-Synthetic_10_B__rtf_large__lsb2.bmp,extended_xl,RTF,2,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__rtf_large__lsb2.bmp,RTF,Correct,1,0,0,0,,,,
JPEG Compression,XL-Synthetic_10_B__rtf_large__lsb2.bmp,extended_xl,RTF,2,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__rtf_large__lsb2__jpeg_q85.jpg,UNKNOWN,Unknown,0,1,0,0,,85,,
Resizing,XL-Synthetic_10_B__rtf_large__lsb2.bmp,extended_xl,RTF,2,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__rtf_large__lsb2__resize_90.png,UNKNOWN,Unknown,0,1,0,0,,,0.9,
Slight Noise,XL-Synthetic_10_B__rtf_large__lsb2.bmp,extended_xl,RTF,2,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__rtf_large__lsb2__noise.png,UNKNOWN,Unknown,0,1,0,0,42,,,8.0
Wrong LSB Depth,XL-Synthetic_10_B__rtf_large__lsb2.bmp,extended_xl,RTF,2,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__rtf_large__lsb2.bmp,UNKNOWN,Unknown,0,1,0,0,,,,
Reduced Buffer,XL-Synthetic_10_B__rtf_large__lsb2.bmp,extended_xl,RTF,2,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__rtf_large__lsb2.bmp,RTF,Correct,1,0,0,0,,,,
Original,XL-Synthetic_10_B__rtf_large__lsb3.bmp,extended_xl,RTF,3,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__rtf_large__lsb3.bmp,RTF,Correct,1,0,0,0,,,,
JPEG Compression,XL-Synthetic_10_B__rtf_large__lsb3.bmp,extended_xl,RTF,3,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__rtf_large__lsb3__jpeg_q85.jpg,UNKNOWN,Unknown,0,1,0,0,,85,,
Resizing,XL-Synthetic_10_B__rtf_large__lsb3.bmp,extended_xl,RTF,3,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__rtf_large__lsb3__resize_90.png,UNKNOWN,Unknown,0,1,0,0,,,0.9,
Slight Noise,XL-Synthetic_10_B__rtf_large__lsb3.bmp,extended_xl,RTF,3,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__rtf_large__lsb3__noise.png,UNKNOWN,Unknown,0,1,0,0,42,,,8.0
Wrong LSB Depth,XL-Synthetic_10_B__rtf_large__lsb3.bmp,extended_xl,RTF,3,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__rtf_large__lsb3.bmp,UNKNOWN,Unknown,0,1,0,0,,,,
Reduced Buffer,XL-Synthetic_10_B__rtf_large__lsb3.bmp,extended_xl,RTF,3,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__rtf_large__lsb3.bmp,RTF,Correct,1,0,0,0,,,,
Original,XL-Synthetic_10_B__xlsx_large__lsb1.bmp,extended_xl,XLSX,1,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__xlsx_large__lsb1.bmp,XLSX,Correct,1,0,0,0,,,,
JPEG Compression,XL-Synthetic_10_B__xlsx_large__lsb1.bmp,extended_xl,XLSX,1,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__xlsx_large__lsb1__jpeg_q85.jpg,UNKNOWN,Unknown,0,1,0,0,,85,,
Resizing,XL-Synthetic_10_B__xlsx_large__lsb1.bmp,extended_xl,XLSX,1,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__xlsx_large__lsb1__resize_90.png,UNKNOWN,Unknown,0,1,0,0,,,0.9,
Slight Noise,XL-Synthetic_10_B__xlsx_large__lsb1.bmp,extended_xl,XLSX,1,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__xlsx_large__lsb1__noise.png,UNKNOWN,Unknown,0,1,0,0,42,,,8.0
Wrong LSB Depth,XL-Synthetic_10_B__xlsx_large__lsb1.bmp,extended_xl,XLSX,1,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__xlsx_large__lsb1.bmp,UNKNOWN,Unknown,0,1,0,0,,,,
Reduced Buffer,XL-Synthetic_10_B__xlsx_large__lsb1.bmp,extended_xl,XLSX,1,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__xlsx_large__lsb1.bmp,ZIP,Unknown,0,1,0,0,,,,
Original,XL-Synthetic_10_B__xlsx_large__lsb2.bmp,extended_xl,XLSX,2,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__xlsx_large__lsb2.bmp,XLSX,Correct,1,0,0,0,,,,
JPEG Compression,XL-Synthetic_10_B__xlsx_large__lsb2.bmp,extended_xl,XLSX,2,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__xlsx_large__lsb2__jpeg_q85.jpg,UNKNOWN,Unknown,0,1,0,0,,85,,
Resizing,XL-Synthetic_10_B__xlsx_large__lsb2.bmp,extended_xl,XLSX,2,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__xlsx_large__lsb2__resize_90.png,UNKNOWN,Unknown,0,1,0,0,,,0.9,
Slight Noise,XL-Synthetic_10_B__xlsx_large__lsb2.bmp,extended_xl,XLSX,2,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__xlsx_large__lsb2__noise.png,UNKNOWN,Unknown,0,1,0,0,42,,,8.0
Wrong LSB Depth,XL-Synthetic_10_B__xlsx_large__lsb2.bmp,extended_xl,XLSX,2,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__xlsx_large__lsb2.bmp,UNKNOWN,Unknown,0,1,0,0,,,,
Reduced Buffer,XL-Synthetic_10_B__xlsx_large__lsb2.bmp,extended_xl,XLSX,2,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__xlsx_large__lsb2.bmp,ZIP,Unknown,0,1,0,0,,,,
Original,XL-Synthetic_10_B__xlsx_large__lsb3.bmp,extended_xl,XLSX,3,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__xlsx_large__lsb3.bmp,XLSX,Correct,1,0,0,0,,,,
JPEG Compression,XL-Synthetic_10_B__xlsx_large__lsb3.bmp,extended_xl,XLSX,3,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__xlsx_large__lsb3__jpeg_q85.jpg,UNKNOWN,Unknown,0,1,0,0,,85,,
Resizing,XL-Synthetic_10_B__xlsx_large__lsb3.bmp,extended_xl,XLSX,3,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__xlsx_large__lsb3__resize_90.png,UNKNOWN,Unknown,0,1,0,0,,,0.9,
Slight Noise,XL-Synthetic_10_B__xlsx_large__lsb3.bmp,extended_xl,XLSX,3,/home/kali/Desktop/stego_dataset_expanded/robustness_test/XL-Synthetic_10_B__xlsx_large__lsb3__noise.png,UNKNOWN,Unknown,0,1,0,0,42,,,8.0
Wrong LSB Depth,XL-Synthetic_10_B__xlsx_large__lsb3.bmp,extended_xl,XLSX,3,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__xlsx_large__lsb3.bmp,UNKNOWN,Unknown,0,1,0,0,,,,
Reduced Buffer,XL-Synthetic_10_B__xlsx_large__lsb3.bmp,extended_xl,XLSX,3,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/XL-Synthetic_10_B__xlsx_large__lsb3.bmp,ZIP,Unknown,0,1,0,0,,,,
