subset,cover_filename,cover_category,cover_variant,cover_size_label,cover_format,cover_mode,cover_width,cover_height,cover_channels,payload_filename,payload_type,payload_size_class,payload_size_bytes,lsb,capacity_bytes,status,reason
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P05.rtf,rtf,large,1085026,1,98304,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P05.rtf,rtf,large,1085026,2,196608,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P05.rtf,rtf,large,1085026,3,294912,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P05.rtf,rtf,medium,511504,1,98304,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P05.rtf,rtf,medium,511504,2,196608,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P05.rtf,rtf,medium,511504,3,294912,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P05.rtf,rtf,small,50275,1,98304,OK,
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P05.rtf,rtf,small,50275,2,196608,OK,
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P05.rtf,rtf,small,50275,3,294912,OK,
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P03.xlsx,xlsx,large,1090468,1,98304,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P03.xlsx,xlsx,large,1090468,2,196608,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P03.xlsx,xlsx,large,1090468,3,294912,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P03.xlsx,xlsx,medium,511280,1,98304,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P03.xlsx,xlsx,medium,511280,2,196608,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P03.xlsx,xlsx,medium,511280,3,294912,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P03.xlsx,xlsx,small,8899,1,98304,OK,
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P03.xlsx,xlsx,small,8899,2,196608,OK,
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P03.xlsx,xlsx,small,8899,3,294912,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P01.docx,docx,large,1121154,1,393216,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P01.docx,docx,large,1121154,2,786432,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P01.docx,docx,large,1121154,3,1179648,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P01.docx,docx,medium,511127,1,393216,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P01.docx,docx,medium,511127,2,786432,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P01.docx,docx,medium,511127,3,1179648,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P01.docx,docx,small,13432,1,393216,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P01.docx,docx,small,13432,2,786432,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P01.docx,docx,small,13432,3,1179648,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P06.exe,exe,large,1017856,1,393216,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P06.exe,exe,large,1017856,2,786432,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P06.exe,exe,large,1017856,3,1179648,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P06.exe,exe,medium,505856,1,393216,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P06.exe,exe,medium,505856,2,786432,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P06.exe,exe,medium,505856,3,1179648,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P06.exe,exe,small,40448,1,393216,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P06.exe,exe,small,40448,2,786432,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P06.exe,exe,small,40448,3,1179648,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P02.pdf,pdf,large,1100144,1,393216,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P02.pdf,pdf,large,1100144,2,786432,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P02.pdf,pdf,large,1100144,3,1179648,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P02.pdf,pdf,medium,510410,1,393216,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P02.pdf,pdf,medium,510410,2,786432,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P02.pdf,pdf,medium,510410,3,1179648,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P02.pdf,pdf,small,16620,1,393216,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P02.pdf,pdf,small,16620,2,786432,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P02.pdf,pdf,small,16620,3,1179648,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P04.pptx,pptx,large,1082610,1,393216,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P04.pptx,pptx,large,1082610,2,786432,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P04.pptx,pptx,large,1082610,3,1179648,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P04.pptx,pptx,medium,512113,1,393216,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P04.pptx,pptx,medium,512113,2,786432,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P04.pptx,pptx,medium,512113,3,1179648,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P04.pptx,pptx,small,32020,1,393216,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P04.pptx,pptx,small,32020,2,786432,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P04.pptx,pptx,small,32020,3,1179648,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P05.rtf,rtf,large,1085026,1,393216,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P05.rtf,rtf,large,1085026,2,786432,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P05.rtf,rtf,large,1085026,3,1179648,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P05.rtf,rtf,medium,511504,1,393216,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P05.rtf,rtf,medium,511504,2,786432,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P05.rtf,rtf,medium,511504,3,1179648,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P05.rtf,rtf,small,50275,1,393216,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P05.rtf,rtf,small,50275,2,786432,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P05.rtf,rtf,small,50275,3,1179648,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P03.xlsx,xlsx,large,1090468,1,393216,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P03.xlsx,xlsx,large,1090468,2,786432,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P03.xlsx,xlsx,large,1090468,3,1179648,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P03.xlsx,xlsx,medium,511280,1,393216,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P03.xlsx,xlsx,medium,511280,2,786432,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P03.xlsx,xlsx,medium,511280,3,1179648,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P03.xlsx,xlsx,small,8899,1,393216,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P03.xlsx,xlsx,small,8899,2,786432,OK,
core,Flat-Color_2_M.png,Flat-Color,2,M,png,RGB,1024,1024,3,P03.xlsx,xlsx,small,8899,3,1179648,OK,
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P01.docx,docx,large,1121154,1,32768,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P01.docx,docx,large,1121154,2,65536,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P01.docx,docx,large,1121154,3,98304,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P01.docx,docx,medium,511127,1,32768,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P01.docx,docx,medium,511127,2,65536,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P01.docx,docx,medium,511127,3,98304,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P01.docx,docx,small,13432,1,32768,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P01.docx,docx,small,13432,2,65536,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P01.docx,docx,small,13432,3,98304,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P06.exe,exe,large,1017856,1,32768,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P06.exe,exe,large,1017856,2,65536,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P06.exe,exe,large,1017856,3,98304,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P06.exe,exe,medium,505856,1,32768,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P06.exe,exe,medium,505856,2,65536,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P06.exe,exe,medium,505856,3,98304,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P06.exe,exe,small,40448,1,32768,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P06.exe,exe,small,40448,2,65536,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P06.exe,exe,small,40448,3,98304,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P02.pdf,pdf,large,1100144,1,32768,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P02.pdf,pdf,large,1100144,2,65536,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P02.pdf,pdf,large,1100144,3,98304,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P02.pdf,pdf,medium,510410,1,32768,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P02.pdf,pdf,medium,510410,2,65536,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P02.pdf,pdf,medium,510410,3,98304,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P02.pdf,pdf,small,16620,1,32768,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P02.pdf,pdf,small,16620,2,65536,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P02.pdf,pdf,small,16620,3,98304,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P04.pptx,pptx,large,1082610,1,32768,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P04.pptx,pptx,large,1082610,2,65536,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P04.pptx,pptx,large,1082610,3,98304,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P04.pptx,pptx,medium,512113,1,32768,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P04.pptx,pptx,medium,512113,2,65536,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P04.pptx,pptx,medium,512113,3,98304,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P04.pptx,pptx,small,32020,1,32768,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P04.pptx,pptx,small,32020,2,65536,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P04.pptx,pptx,small,32020,3,98304,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P05.rtf,rtf,large,1085026,1,32768,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P05.rtf,rtf,large,1085026,2,65536,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P05.rtf,rtf,large,1085026,3,98304,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P05.rtf,rtf,medium,511504,1,32768,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P05.rtf,rtf,medium,511504,2,65536,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P05.rtf,rtf,medium,511504,3,98304,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
