stego_filename,subset,cover_filename,cover_category,cover_size_label,cover_format,payload_filename,payload_type,payload_size_class,lsb,expected_type,predicted_type,correct,status,runtime_seconds
Flat-Color_2_M__pdf_small__lsb3.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P02.pdf,PDF,small,3,PDF,PDF,1,ok,0.726925
Flat-Color_2_M__pptx_large__lsb3.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P04.pptx,PPTX,large,3,PPTX,PPTX,1,ok,0.852983
Flat-Color_2_M__pptx_medium__lsb2.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P04.pptx,PPTX,medium,2,PPTX,PPTX,1,ok,0.888129
Flat-Color_2_M__pptx_medium__lsb3.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P04.pptx,PPTX,medium,3,PPTX,PPTX,1,ok,0.735223
Flat-Color_2_M__pptx_small__lsb1.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P04.pptx,PPTX,small,1,PPTX,PPTX,1,ok,0.709103
Flat-Color_2_M__pptx_small__lsb2.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P04.pptx,PPTX,small,2,PPTX,PPTX,1,ok,0.679936
Flat-Color_2_M__pptx_small__lsb3.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P04.pptx,PPTX,small,3,PPTX,PPTX,1,ok,0.687482
Flat-Color_2_M__rtf_large__lsb3.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P05.rtf,RTF,large,3,RTF,RTF,1,ok,0.833457
Flat-Color_2_M__rtf_medium__lsb2.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P05.rtf,RTF,medium,2,RTF,RTF,1,ok,0.810832
Flat-Color_2_M__rtf_medium__lsb3.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P05.rtf,RTF,medium,3,RTF,RTF,1,ok,0.826957
Flat-Color_2_M__rtf_small__lsb1.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P05.rtf,RTF,small,1,RTF,RTF,1,ok,0.828291
Flat-Color_2_M__rtf_small__lsb2.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P05.rtf,RTF,small,2,RTF,RTF,1,ok,0.953071
Flat-Color_2_M__rtf_small__lsb3.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P05.rtf,RTF,small,3,RTF,RTF,1,ok,0.894825
Flat-Color_2_M__xlsx_large__lsb3.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P03.xlsx,XLSX,large,3,XLSX,XLSX,1,ok,0.745766
Flat-Color_2_M__xlsx_medium__lsb2.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P03.xlsx,XLSX,medium,2,XLSX,XLSX,1,ok,0.950396
